dist,taluq,crop,season,avg_temp_rabi,avg_temp_kharif,avg_rainfall
Bagalkot,Bagalkot,Maize,K,22.7,28.8,616
Bagalkot,Bagalkot,Jowar/Sorghum,K/R,22.7,28.8,616
Bagalkot,Bagalkot,Groundnut,K,22.7,28.8,616
Bagalkot,Bagalkot,Sunflower,R,22.7,28.8,616
Bagalkot,Bagalkot,Cotton,K,22.7,28.8,616
Bagalkot,Bagalkot,Sugarcane,A,22.7,28.8,616
Bagalkot,Bagalkot,Pulses (tur/gram),K/R,22.7,28.8,616
Bagalkot,Jamkhandi,Sugarcane,A,22.8,28.9,632
Bagalkot,Jamkhandi,Maize,K,22.8,28.9,632
Bagalkot,Jamkhandi,Jowar,K,22.8,28.9,632
Bagalkot,Jamkhandi,Groundnut,K,22.8,28.9,632
Bagalkot,Jamkhandi,Sunflower,R,22.8,28.9,632
Bagalkot,Jamkhandi,Pomegranate ,A,22.8,28.9,632
Bagalkot,Bilagi,Jowar,K/R,22.8,28.9,634
Bagalkot,Bilagi,Maize,K,22.8,28.9,634
Bagalkot,Bilagi,Groundnut,K,22.8,28.9,634
Bagalkot,Bilagi,Cotton,K,22.8,28.9,634
Bagalkot,Bilagi,Onion,R/K intercropping,22.8,28.9,634
Bagalkot,Hungund,Jowar,K/R,22.4,28.5,593
Bagalkot,Hungund,Maize,K,22.4,28.5,593
Bagalkot,Hungund,Cotton,K,22.4,28.5,593
Bagalkot,Hungund,Groundnut,K,22.4,28.5,593
Bagalkot,Hungund,Grapes,irrigated pockets,22.4,28.5,593
Bagalkot,Mudhol,Sugarcane,A,22.8,28.9,626
Bagalkot,Mudhol,Tobacco,R/K (depending on crop cycle),22.8,28.9,626
Bagalkot,Mudhol,Maize,K,22.8,28.9,626
Bagalkot,Mudhol,Pomegranate,A,22.8,28.9,626
Bagalkot,Badami,Groundnut,K,22.6,28.7,611
Bagalkot,Badami,Sunflower,R,22.6,28.7,611
Bagalkot,Badami,Jowar,K,22.6,28.7,611
Bagalkot,Badami,Maize,K,22.6,28.7,611
Bagalkot,Badami,Redgram,K,22.6,28.7,611
Bagalkot,Bagalkot (taluk),Maize,K,22.7,28.8,623
Bagalkot,Bagalkot (taluk),Jowar,K/R,22.7,28.8,623
Bagalkot,Bagalkot (taluk),Groundnut,K,22.7,28.8,623
Bagalkot,Bagalkot (taluk),Sunflower,R,22.7,28.8,623
Bagalkot,Bagalkot (taluk),Cotton,K,22.7,28.8,623
Bagalkot,Ilkal,Cotton,K,22.4,28.5,586
Bagalkot,Ilkal,Sunflower,R,22.4,28.5,586
Bagalkot,Ilkal,Maize,K,22.4,28.5,586
Bagalkot,Ilkal,Chilli,R/K,22.4,28.5,586
Bagalkot,Ilkal,Onion,R,22.4,28.5,586
Bagalkot,Rabakavi-Banahatti,Sugarcane,A,22.6,28.7,612
Bagalkot,Rabakavi-Banahatti,Maize,K,22.6,28.7,612
Bagalkot,Rabakavi-Banahatti,Sunflower,R,22.6,28.7,612
Bagalkot,Rabakavi-Banahatti,Tobacco,R,22.6,28.7,612
Bidar,Bidar,Jowar/Sorghum,K,20.6,27.4,946
Bidar,Bidar,Paddy,K (in irrigated),20.6,27.4,946
Bidar,Bidar,Groundnut,K,20.6,27.4,946
Bidar,Bidar,Pulses (tur/gram),K/R,20.6,27.4,946
Bidar,Bidar,Sugarcane,A (in command areas),20.6,27.4,946
