district,taluq,crop,season,avg_rainfall,avg_temp_rabi,avg_temp_kharif
bagalkot,bagalkot,maize,k,616,22.7,28.8
bagalkot,bagalkot,jowar/sorghum,k/r,616,22.7,28.8
bagalkot,bagalkot,groundnut,k,616,22.7,28.8
bagalkot,bagalkot,sunflower,r,616,22.7,28.8
bagalkot,bagalkot,cotton,k,616,22.7,28.8
bagalkot,bagalkot,sugarcane,a,616,22.7,28.8
bagalkot,bagalkot,pulses (tur/gram),k/r,616,22.7,28.8
bagalkot,jamkhandi,sugarcane,a,632,22.8,28.9
bagalkot,jamkhandi,maize,k,632,22.8,28.9
bagalkot,jamkhandi,jowar,k,632,22.8,28.9
bagalkot,jamkhandi,groundnut,k,632,22.8,28.9
bagalkot,jamkhandi,sunflower,r,632,22.8,28.9
bagalkot,jamkhandi,pomegranate,a,632,22.8,28.9
bagalkot,bilagi,jowar,k/r,634,22.8,28.9
bagalkot,bilagi,maize,k,634,22.8,28.9
bagalkot,bilagi,groundnut,k,634,22.8,28.9
bagalkot,bilagi,cotton,k,634,22.8,28.9
bagalkot,bilagi,onion,r/k intercropping,634,22.8,28.9
bagalkot,hungund,jowar,k/r,593,22.4,28.5
bagalkot,hungund,maize,k,593,22.4,28.5
bagalkot,hungund,cotton,k,593,22.4,28.5
bagalkot,hungund,groundnut,k,593,22.4,28.5
bagalkot,hungund,grapes,irrigated pockets,593,22.4,28.5
bagalkot,mudhol,sugarcane,a,626,22.8,28.9
bagalkot,mudhol,tobacco,r/k (depending on crop cycle),626,22.8,28.9
bagalkot,mudhol,maize,k,626,22.8,28.9
bagalkot,mudhol,pomegranate,a,626,22.8,28.9
bagalkot,badami,groundnut,k,611,22.6,28.7
bagalkot,badami,sunflower,r,611,22.6,28.7
bagalkot,badami,jowar,k,611,22.6,28.7
bagalkot,badami,maize,k,611,22.6,28.7
bagalkot,badami,redgram,k,611,22.6,28.7
bagalkot,bagalkot (taluk),maize,k,623,22.7,28.8
bagalkot,bagalkot (taluk),jowar,k/r,623,22.7,28.8
bagalkot,bagalkot (taluk),groundnut,k,623,22.7,28.8
bagalkot,bagalkot (taluk),sunflower,r,623,22.7,28.8
bagalkot,bagalkot (taluk),cotton,k,623,22.7,28.8
bagalkot,ilkal,cotton,k,586,22.4,28.5
bagalkot,ilkal,sunflower,r,586,22.4,28.5
bagalkot,ilkal,maize,k,586,22.4,28.5
bagalkot,ilkal,chilli,r/k,586,22.4,28.5
bagalkot,ilkal,onion,r,586,22.4,28.5
bagalkot,rabakavi-banahatti,sugarcane,a,612,22.6,28.7
bagalkot,rabakavi-banahatti,maize,k,612,22.6,28.7
bagalkot,rabakavi-banahatti,sunflower,r,612,22.6,28.7
bagalkot,rabakavi-banahatti,tobacco,r,612,22.6,28.7
bidar,bidar,jowar/sorghum,k,946,20.6,27.4
bidar,bidar,paddy,k (in irrigated),946,20.6,27.4
bidar,bidar,groundnut,k,946,20.6,27.4
bidar,bidar,pulses (tur/gram),k/r,946,20.6,27.4
bidar,bidar,sugarcane,a (in command areas),946,20.6,27.4
bidar,bidar,chillies,k/r,946,20.6,27.4
bidar,aurad,jowar,k,924,20.3,27.1
bidar,aurad,tur/redgram,k,924,20.3,27.1
bidar,aurad,paddy,k (where irrigated),924,20.3,27.1
bidar,aurad,maize,k,924,20.3,27.1
bidar,basavakalyan,jowar,k,948,20.6,27.4
bidar,basavakalyan,bajra,k,948,20.6,27.4
bidar,basavakalyan,wheat,r (in limited areas),948,20.6,27.4
bidar,basavakalyan,groundnut,k,948,20.6,27.4
bidar,basavakalyan,sunflower,r,948,20.6,27.4
bidar,bhalki,paddy,k (irrigated),961,20.7,27.5
bidar,bhalki,jowar,k,961,20.7,27.5
bidar,bhalki,sugarcane,a (pockets),961,20.7,27.5
bidar,bhalki,cotton,k,961,20.7,27.5
bidar,bidar (taluk),jowar,k,960,20.7,27.5
bidar,bidar (taluk),maize,k,960,20.7,27.5
bidar,bidar (taluk),pulses,k/r,960,20.7,27.5
bidar,bidar (taluk),groundnut,k,960,20.7,27.5
bidar,humnabad,sugarcane,a (where irrigated),929,20.4,27.2
bidar,humnabad,jowar,k,929,20.4,27.2
bidar,humnabad,maize,k,929,20.4,27.2
bidar,humnabad,chilli,k/r,929,20.4,27.2
